t_dat,customer_id,article_id,price,sales_channel_id
2026-07-20,dfaf1056b112f0d796c0181d5cd6d5f9de7a781dcee597d2e3a6476e1a517128,0740723001,0.020875,2
2026-07-20,306b509665ca96700fc7d6fb96c914ae28a860801320faa97dcbc0c8fc9948c4,0656348001,0.115765,2
2026-07-20,9fc68991022633912f8ae236f388f39b6311ca3ef2cc1041d93999c4ba4cf784,0603584008,0.015998,2
2026-07-20,82e136de4a3b5e97a17fb25fec7efc0a9de48b8727308bf734edee7fbad43e13,0614714004,0.005,1
2026-07-20,554b16516950f40b73e6b49f8ac2ffca177dd363f3a27bd14c7c9a0eb92d6f57,0681592002,0.014868,1
2026-07-20,67ff55f1effc93fba1dcd873da7f9a81fd5fd4f79d7233429627069dd5a68076,0843634003,0.005,2
2026-07-20,020b4b91a4a984e9bc0810f08cfacc29a9118b9718f455c2114310c1655b4a28,0677527001,0.009174,2
2026-07-20,8be8103f49fad880b21641d75fdd091a6ede16f48e98bbafad617fdbe25351c8,0798017002,0.029651,2
2026-07-20,d437b48ed40158feffc782a0dc04363516ff52c50f887f299e86607ed8b3dc51,0568573001,0.04912,1
2026-07-20,c46f95bc7662bf168a21f1faa69748e84831265f83cd72f58866316ee21b107b,0717759001,0.011879,2
2026-07-20,62a612dc04dc0d83e8835de6cb817eaf2734fd868beb77865e37985b70e3f03d,0836235001,0.005,2
2026-07-20,76064050a6e934b8986fd58f7f7b6a6e3a2055f7b9c0013fc9a937b2c8abf789,0791006001,0.031247,2
2026-07-20,740d10ed2025787a51c09bdea80e9f4b12b43286c1dedb2cffcf8425df73bdea,0589521024,0.019942,1
2026-07-20,c52c5d86210c54c11cace7551ff99239753765efd033e21d3eb46ed49c73c3f2,0645065001,0.014593,2
2026-07-20,8858bcf657e15b98f8175257e38b2efe43576821d71953f7b5af68be4a570d6e,0738487001,0.017411,2
2026-07-20,554b16516950f40b73e6b49f8ac2ffca177dd363f3a27bd14c7c9a0eb92d6f57,0765731003,0.01241,2
2026-07-20,b78d3acfdc90b9d7ef773abe1940f634da03238b9254d0c788f1d5d4be522f58,0820462008,0.015963,2
2026-07-20,816096c7ab639a0167e4422441af3c9d560c6e5e14ec16bc35da2da21dab2c33,0697487001,0.01882,2
2026-07-20,8e2b302cfaa5f168d3c1e82071e2730b57a6466a115d74181052e4ca3b3c84b1,0605939001,0.020606,2
2026-07-20,554b16516950f40b73e6b49f8ac2ffca177dd363f3a27bd14c7c9a0eb92d6f57,0875329001,0.01709,1
2026-07-20,d8d7f42082b60d7513bdf08eb8189ea41ff80045fb85644bc54783f2577f2fe0,0824062001,0.006377,1
2026-07-20,2630a7aae483fd221784d622beae1737e8f92cb6024eaaf375ee697775d7aa80,0868146001,0.065404,1
2026-07-20,bd07718fa25992a07866743fbb6a6dd7241966c2298ad3e527bb91089928af7d,0855132003,0.015258,2
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0656348001,0.005,1
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0656348001,0.013048,2
2026-07-20,7526c01b1ac833a1015230ce8ec032f427d958ce0031022795603fdfb67a3042,0443696038,0.013821,1
2026-07-20,138701891cc266ec5a8fa59958afdde83bea7e95773ef80ef245d9a63dc2fc5d,0765731003,0.007264,2
2026-07-20,23377b20958bd928198f31e63c0da61c0170c099a3911390f36053d7cebe5a5f,0855132003,0.005,1
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0855132003,0.018764,2
2026-07-20,c5a3d118d00174c1c64a57fe3306af940e0dfcae6223364adef49171090ebdb4,0648572001,0.018541,2
2026-07-20,0ccfdd45c0fbc25c5d68a78b1a2d8d73ffeb4cea363720f3a5666ff8bc1240ad,0685601014,0.005,2
2026-07-20,fe58b65076325f93da314788b4cfbc70474d0e07cb19b369a3f038c48c553fa3,0765731003,0.018979,2
2026-07-20,09f30999d2991a9ea95d63bb23392b700a7f5d99dde7729c027d4c8ba31e8df8,0765731003,0.023401,1
2026-07-20,b48782a83fb6bd740d2ae1dc47559a3d8a7683d6ffdb17fd70965e6eaf0ea299,0738487001,0.005,2
2026-07-20,b78d3acfdc90b9d7ef773abe1940f634da03238b9254d0c788f1d5d4be522f58,0719629003,0.012551,1
2026-07-20,634343d18198af7c632ebc9a7764f1d40b03dd941f6244ddf94fa8223ebb093d,0600441003,0.064787,1
2026-07-20,8de0cec45aa56da526ee3c1db2ece4ccb0104c7e5cda4ca9146292e1d04803ea,0347983039,0.027954,2
2026-07-20,554b16516950f40b73e6b49f8ac2ffca177dd363f3a27bd14c7c9a0eb92d6f57,0765731003,0.028041,1
2026-07-20,8c2e38e8eaa0d35b8d1d9704a6f7594f685e732411e83da0728c0eeb3519f696,0522461016,0.028391,1
2026-07-20,75240de99bf170e91ede09c802c0badb7d094524df2e12e4529d18ef17149822,0656348001,0.041328,1
2026-07-20,d980744901e9b50f2bfcaa0193a9206c6aecdf85c1941f67441a55b6b2d3cc6f,0939501001,0.007536,2
2026-07-20,a8af260ef39cd459a9e5669bb3e2da7345a8e7194d0a16b8b621afa190a6462e,0677672001,0.005,2
2026-07-20,76847a32222a81f4040059edf9f7359b2c4a646bdd987c2c4b12864336c689c6,0577253002,0.012236,1
2026-07-20,554b16516950f40b73e6b49f8ac2ffca177dd363f3a27bd14c7c9a0eb92d6f57,0685529003,0.009601,2
2026-07-20,4476413283d3d1d937a530f420abf573c4cb339205561375bca7746143a3b821,0820115001,0.010697,2
2026-07-20,e6c57f910fa017bc9e4f30d804e38805bbd7ac8feba9f94191b4f3b53e726436,0687270009,0.029891,2
2026-07-20,a2063270a44b7be0f1a45a0ea40039c93d41a22b59b306098d1eb3f1a8049f4d,0357130017,0.007786,2
2026-07-20,b78d3acfdc90b9d7ef773abe1940f634da03238b9254d0c788f1d5d4be522f58,0765731003,0.067192,1
2026-07-20,b71433fb2e2bc2e6fdc8483bcbad5c3119615a3b4a3aa86ec1a4bf2d4d334ca6,0806839005,0.005,1
2026-07-20,78283c5aad4f44c270f47f3ed5eef1d704be5d62f85d9dd0ef7912ce56ad7039,0706268029,0.04454,2
2026-07-20,debcc01b5b060db8433448d460f7b0bfff6e901189e080be73fc82ac7d8874e7,0585123002,0.005,2
2026-07-20,d8a1f0b06e0c61894ac6cf8312e27448dd83433ad257666d4e604fecd01fcd56,0721298003,0.028871,2
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0769125003,0.027521,2
2026-07-20,51e3d93f7fcb25e7d57431f48eee232f5b507306cdd2e5226acefdccd57f9c03,0796609001,0.012638,2
2026-07-20,3c1fda87d2e313f1faf3c9860f78258853b6ae6a37e200c466cb9b3a71fa3f38,0562339001,0.031528,2
2026-07-20,842348612ef3180bebe6fda52c1b435bf1641e29ee0a06399b5f18d05e1552cb,0656348001,0.00686,2
2026-07-20,fdc510515c013146a1f04c079f4fe41297d5de330a40bcc86962d84136ea8e1e,0704770006,0.005538,1
2026-07-20,1f0f83f58140074474c2a3509289c006a56d06da7d13da869c0395cc8921b526,0892451001,0.029397,2
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0841434007,0.009714,1
2026-07-20,fdc510515c013146a1f04c079f4fe41297d5de330a40bcc86962d84136ea8e1e,0765731003,0.061362,2
2026-07-20,e0a60db25e47933f9d96bf3a43187ce39131cfce98d8038c7d33ee2f60746158,0849222001,0.029363,2
2026-07-20,9c40183d6b8433307e8eca2b8a9e8ac487ab8e749ae97f87b8d724a22ced5c34,0751254003,0.022103,2
2026-07-20,09c9689056864fc79a0377819c9d3dc353a261e0ccf5f23eb3b07a8f8d7b0e58,0656348001,0.010567,2
2026-07-20,f5fe637793ddf96d261a31a0a3cf016664fc833d9321cd1f966f2cc7d1433402,0760444002,0.005,1
2026-07-20,4c2eeacd697a50c82ab81c05bffc540ac926ead1a278c830fe699e105e1d8daf,0817095001,0.038385,1
2026-07-20,b570d5074a53aba568dab3cd530944057d90f014e0f7d95b64efb25cbcf2476d,0806137001,0.038034,2
2026-07-20,d980744901e9b50f2bfcaa0193a9206c6aecdf85c1941f67441a55b6b2d3cc6f,0751859003,0.007747,1
2026-07-20,fdc510515c013146a1f04c079f4fe41297d5de330a40bcc86962d84136ea8e1e,0796609001,0.005,2
2026-07-20,ec6daf8886578b0253ae6d91681effdecbbf1a725d0ded6eb110912174f27384,0651898001,0.017561,1
2026-07-20,3c1fda87d2e313f1faf3c9860f78258853b6ae6a37e200c466cb9b3a71fa3f38,0765731003,0.01655,2
2026-07-20,a0970d6f21708c98c19cb778d3b259b9ba93e06d9b9c7516113f7f2cff633890,0765731003,0.033417,2
2026-07-20,ce8572693b559b5e13eecbca5b393e7b0f8d3e67995a6d9683efaf23cd8d2e3d,0855132003,0.012587,2
2026-07-20,2311943d40beec27322512d0dee96ff7b6fd364dd0fb55d1db4aeb73a85092f3,0796609001,0.055679,2
2026-07-20,b71433fb2e2bc2e6fdc8483bcbad5c3119615a3b4a3aa86ec1a4bf2d4d334ca6,0587026027,0.02529,2
2026-07-20,816096c7ab639a0167e4422441af3c9d560c6e5e14ec16bc35da2da21dab2c33,0556011001,0.062821,2
2026-07-20,3c1fda87d2e313f1faf3c9860f78258853b6ae6a37e200c466cb9b3a71fa3f38,0685143005,0.005,1
2026-07-20,b48782a83fb6bd740d2ae1dc47559a3d8a7683d6ffdb17fd70965e6eaf0ea299,0925004003,0.019211,1
2026-07-20,6b4e0901bbed78808e7f989cb53c2ad55ea7ec7113c1aea34ced706b452eae8b,0760444002,0.052024,1
2026-07-20,4b8ce343270859def388d833225e4cd8bde103980eab0b84ac94e84a0f6242dd,0357130017,0.005,2
2026-07-20,d22c2381e8b0787eae196a395bd5b81d6bcc4bae41df57dfc08556a3d88cace1,0621767005,0.035872,1
2026-07-20,7d5d0d76dd77b3dd110f60c4ff22c25dda40327dce759a292a01b66c68270666,0875891003,0.005,2
2026-07-20,7757b762c58e616d6bffc4f48ec7722497c4154c21cb74027e5f80d74d49579c,0795243008,0.005,1
2026-07-20,9ebcfa5766177c57336053e34befc140eff31b1d8913a84cc9a0b6679a41ae8c,0569101001,0.005,2
2026-07-20,4d6c8d0d162a05cd4ceaad601ea6703a7194172681c981941a6079d8476bdc2c,0458428031,0.005,1
2026-07-20,3e60c0c58c218e50dc8249cfce80fefbabb9436837ccc70b239398602c7d63b0,0765731003,0.031896,2
2026-07-20,fdc510515c013146a1f04c079f4fe41297d5de330a40bcc86962d84136ea8e1e,0765731003,0.012356,2
2026-07-20,3c1fda87d2e313f1faf3c9860f78258853b6ae6a37e200c466cb9b3a71fa3f38,0645561001,0.015407,2
